NosAccts0WeeksOld,NosAccts1WeeksOld,NosAccts2WeeksOld,NosAccts3WeeksOld,NosAccts4WeeksOld,NosAccts5WeeksOld,NosAccts6WeeksOld,NosAccts7WeeksOld,NosAccts8WeeksOld,NosAccts9WeeksOld,NosAccts10WeeksOld,NosAccts11WeeksOld,NosAccts12WeeksOld,NosAccts13WeeksOld,NosAcctsOver13WeeksOld,CallVolProd1,CallVolProd2,CallVolProd3,CallVolProd4,Date,
82999,82696,85973,71907,69309,72383,85621,92648,80555,40524,42180,58356,65553,552874,31625840,343432,97792,68948,30091,8/1/10,
91965,82605,82412,85794,71774,69116,72269,85482,92405,80239,40458,42116,58288,575608,31597625,361689,105078,65443,27749,8/8/10,
96685,91467,82314,82250,85604,71506,68993,72145,85137,92036,80012,40414,42064,588315,31568891,366035,112251,65907,27584,8/15/10,
75352,96140,91057,82088,82071,85203,71334,68891,71965,84866,91627,79899,40372,588606,31539415,387908,92720,59723,22329,8/22/10,
61609,74990,95747,90798,81868,81775,84952,71215,68744,71709,84518,91490,79802,587104,31534733,428427,105702,62315,21131,8/29/10,
89184,61362,74771,95558,90587,81723,81611,84846,71021,68514,71519,84433,91409,626481,31505988,377909,96588,54050,17141,9/5/10,
117707,88733,61102,74597,95340,90271,81582,81492,84559,70731,68387,71434,84343,681325,31472977,413228,110451,57969,21337,9/12/10,
112690,117167,88442,60944,74426,94901,90071,81478,81232,84245,70581,68315,71366,724177,31441682,423131,102349,73747,20254,9/19/10,
103968,112083,116680,88253,60776,74111,94623,89922,81281,80945,83978,70487,68258,748314,31429919,408148,99453,72013,18414,9/26/10,
120362,103535,111687,116420,88076,60600,73933,94446,89677,80941,80690,83851,70417,771408,31411030,414871,108879,73560,18074,10/3/10,
98633,119917,103123,111507,116177,87804,60486,73810,94140,89372,80792,80568,83777,795231,31385704,406555,113491,75002,18075,10/10/10,
95304,98225,119446,102806,111173,115829,87653,60384,73561,93842,89115,80670,80478,821269,31362635,417104,114306,84096,16466,10/17/10,
83386,94785,97848,119077,102496,110720,115610,87518,60254,73372,93522,88989,80569,829714,31347136,412386,94565,88236,14994,10/24/10,
106818,83009,94346,97585,118807,102219,110513,115431,87282,60049,73104,93388,88882,844960,31353210,412234,113091,95022,16619,10/31/10,
126643,106377,82742,94145,97358,118534,101998,110363,115132,87010,59913,73021,93300,875650,31338965,379870,96510,89457,14306,11/7/10,
123658,126064,105914,82585,93913,97134,118263,101831,110021,114732,86771,59843,72952,926435,31270813,426237,107222,95785,15217,11/14/10,
95591,123218,125645,105622,82434,93608,96967,118088,101629,109773,114475,86677,59787,958361,31240232,369458,84475,82841,12608,11/21/10,
81101,95160,122754,125352,105271,82172,93305,96763,117877,101263,109429,114282,86583,938672,31269634,452200,111360,107940,16389,11/28/10,
105834,80809,94902,122556,125108,104980,81942,93155,96534,117251,101026,109287,114184,934242,31295461,412095,108006,103384,14850,12/5/10,
108843,105440,80615,94753,122275,124695,104813,81797,92860,96130,116903,100862,109168,964203,31316185,412034,110941,102892,14635,12/12/10,
82185,108392,105143,80456,94576,122006,124509,104670,81609,92630,95903,116763,100765,1001794,31320985,344327,85088,83473,10856,12/19/10,
63637,81866,108098,104968,80324,94362,121789,124351,104463,81355,92309,95789,116669,1034348,31340502,325649,83901,84399,11650,12/26/10,
68405,63354,81566,107844,104761,80145,94131,121592,124015,104015,81077,92164,95670,1080582,31354614,396719,117008,101109,15295,1/2/11,
94079,68105,63122,81393,107568,104388,80011,93967,121268,123521,103746,80962,92072,1092439,31370711,388274,115974,95070,14846,1/9/11,
95454,93685,67870,62960,81195,107227,104180,79871,93690,120837,123152,103571,80867,1103750,31384215,373779,105615,92645,15108,1/16/11,
95010,95096,93342,67706,62788,80880,106962,104014,79661,93461,120558,122987,103439,1103730,31396934,372552,86918,92411,17531,1/23/11,
75129,94648,94812,93144,67535,62575,80689,106770,103755,79429,93171,120362,122844,1118328,31444525,383341,110294,93386,17282,1/30/11,
88189,74763,94332,94642,92919,67339,62465,80532,106412,103343,79234,93056,120226,1147850,31475120,384930,112494,93158,16223,2/6/11,
104852,87807,74486,94114,94420,92552,67191,62366,80284,106029,103060,79124,92941,1194456,31484179,394018,117929,96814,17490,2/13/11,
99828,104399,87555,74302,93894,94140,92363,67104,62219,79963,105769,102902,79036,1226840,31475364,387081,105661,94892,16246,2/20/11,
103155,99376,104060,87404,74075,93542,93936,92200,66945,61970,79672,105545,102757,1218701,31500714,407211,124617,101500,17507,2/27/11,
117847,102707,99090,103855,87171,73888,93360,93780,91969,66725,61772,79530,105400,1207251,31549753,389177,111598,97388,17304,3/6/11,
129357,117396,102382,98893,103625,86906,73770,93209,93486,91612,66497,61667,79416,1202971,31590002,385391,116358,95490,16463,3/13/11,
122857,128908,117116,102195,98641,103301,86792,73659,92989,93252,91276,66400,61581,1181493,31624079,378353,101178,94082,17515,3/20/11,
