East Coast (PADD 1) Product Supplied of Finished Motor Gasoline Monthly
http://www.eia.gov/beta/api/qb.cfm?sdid=PET.MGFUPP12.M
06:36:30 GMT-0400 (Eastern Daylight Time)
Source: Energy Information Administration
Month,Series ID: PET.MGFUPP12.M Thousand Barrels per Day
Sep 1989,2417
Aug 1989,2602
Jul 1989,2383
Jun 1989,2579
May 1989,2427
Apr 1989,2388
Mar 1989,2497
Feb 1989,2388
Jan 1989,2295
Dec 1988,2390
Nov 1988,2358
Oct 1988,2382
Sep 1988,2435
Aug 1988,2507
Jul 1988,2444
Jun 1988,2564
May 1988,2453
Apr 1988,2422
Mar 1988,2462
Feb 1988,2383
Jan 1988,2237
Dec 1987,2460
Nov 1987,2447
Oct 1987,2523
Sep 1987,2464
Aug 1987,2486
Jul 1987,2533
Jun 1987,2487
May 1987,2595
Apr 1987,2446
Mar 1987,2303
Feb 1987,2362
Jan 1987,2209
Dec 1986,2328
Nov 1986,2261
Oct 1986,2445
Sep 1986,2285
Aug 1986,2504
Jul 1986,2484
Jun 1986,2389
May 1986,2199
Apr 1986,2419
Mar 1986,2339
Feb 1986,2148
Jan 1986,2300
Dec 1985,2268
Nov 1985,2076
Oct 1985,2227
Sep 1985,2125
Aug 1985,2378
Jul 1985,2263
Jun 1985,2273
May 1985,2302
Apr 1985,2323
Mar 1985,2198
Feb 1985,2084
Jan 1985,2118
Dec 1984,2176
Nov 1984,2247
Oct 1984,2261
Sep 1984,2186
Aug 1984,2335
Jul 1984,2162
Jun 1984,2287
May 1984,2197
Apr 1984,2144
Mar 1984,2189
Feb 1984,2066
Jan 1984,2061
Dec 1983,2303
Nov 1983,2241
Oct 1983,2255
Sep 1983,2210
Aug 1983,2365
Jul 1983,2284
Jun 1983,2355
May 1983,2187
Apr 1983,2120
Mar 1983,2294
Feb 1983,2077
Jan 1983,2119
Dec 1982,2164
Nov 1982,2152
Oct 1982,2154
Sep 1982,2152
Aug 1982,2122
Jul 1982,2321
Jun 1982,2287
May 1982,2121
Apr 1982,2329
Mar 1982,2146
Feb 1982,2081
Jan 1982,1992
Dec 1981,2314
Nov 1981,2128
Oct 1981,2267
Sep 1981,2127
Aug 1981,2219
Jul 1981,2288
Jun 1981,2335
May 1981,2194
Apr 1981,2224
Mar 1981,2044
Feb 1981,2059
Jan 1981,2261 
